"gene","logFC","logCPM","F","PValue","FDR","pct_tumor_cells_descriptive","pct_normal_cells_descriptive","experimental_unit","is_cell_cycle_like"
"FSTL3",4.12152368894338,3.75325834902203,55.4050493126295,4.33210864534668e-07,5.2877208465261e-05,0.174916329047032,0.0102354145342886,"paired_patient_pseudobulk",FALSE
"IFI6",4.97545852700566,7.98588453726503,76.0207972574548,4.40235919156982e-07,5.3212982461208e-05,0.483177734719042,0.0511770726714432,"paired_patient_pseudobulk",FALSE
"IL1R2",-2.73661981498676,4.50963533036018,81.2965615049647,4.47299977081944e-07,5.35469684102904e-05,0.0870177910868416,0.263050153531218,"paired_patient_pseudobulk",FALSE
"INSL5",-13.1351022814013,7.16716325620924,520.841807957623,4.53161048780744e-07,5.37319529268597e-05,0,0.0337768679631525,"paired_patient_pseudobulk",FALSE
"LGALS9C",-4.42768161450065,2.32672606023415,83.1728956986722,4.57521578204153e-07,5.37372042324689e-05,0.0140919499735776,0.0972364380757421,"paired_patient_pseudobulk",FALSE
"BCAS4",2.68287581682488,3.25265317382219,65.7362995912037,4.63300924428439e-07,5.39074440105987e-05,0.217896776466444,0.0184237461617195,"paired_patient_pseudobulk",FALSE
"BEST4",-7.45986875543233,6.72356995091488,79.7664538708117,4.73906855056265e-07,5.46309291245417e-05,0.0116258587282015,0.250767656090072,"paired_patient_pseudobulk",FALSE
"IFI44",4.19441588908607,3.4212406276656,64.3784577791599,4.8430667632967e-07,5.53175974339852e-05,0.149903117843932,0.00716479017400205,"paired_patient_pseudobulk",FALSE
"MTHFD1L",2.71300204848592,4.05228851318418,70.2909480365779,5.28532029504095e-07,5.98202160665998e-05,0.346309670600669,0.0307062436028659,"paired_patient_pseudobulk",FALSE
"TPD52L2",1.75991075332194,5.19810463500236,75.7030700138606,5.44152154466949e-07,6.10332821902118e-05,0.579355293288709,0.128966223132037,"paired_patient_pseudobulk",FALSE
"BLVRA",3.26370903576576,3.3281184515022,54.8108468494388,5.53188745851963e-07,6.14928561237226e-05,0.194645059010041,0.0112589559877175,"paired_patient_pseudobulk",FALSE
"NEURL1",-4.93591614833648,4.13166012319761,71.0976628963837,5.87408517480569e-07,6.47189030321511e-05,0.0227232693323939,0.193449334698055,"paired_patient_pseudobulk",FALSE
