cohort_split,time,n_risk,n_event,n_censor,survival,lower,upper,risk_group
Validation,86.0,16,0,2,0.6857325713890349,0.5827970265653585,0.8068489337275014,High
Validation,88.0,14,0,1,0.6857325713890349,0.5827970265653585,0.8068489337275014,High
Validation,91.0,13,0,1,0.6857325713890349,0.5827970265653585,0.8068489337275014,High
Validation,96.0,12,0,2,0.6857325713890349,0.5827970265653585,0.8068489337275014,High
Validation,99.0,10,0,2,0.6857325713890349,0.5827970265653585,0.8068489337275014,High
Validation,104.0,8,0,1,0.6857325713890349,0.5827970265653585,0.8068489337275014,High
Validation,106.0,7,0,2,0.6857325713890349,0.5827970265653585,0.8068489337275014,High
Validation,132.0,5,0,1,0.6857325713890349,0.5827970265653585,0.8068489337275014,High
Validation,141.0,4,0,1,0.6857325713890349,0.5827970265653585,0.8068489337275014,High
Validation,144.0,3,0,1,0.6857325713890349,0.5827970265653585,0.8068489337275014,High
Validation,146.0,2,0,2,0.6857325713890349,0.5827970265653585,0.8068489337275014,High
